year,U_est,U_est SE,U_lo,U_lo SE,U_hi,U_hi SE
1822,2305.0065359477126,0.8483648458399404,2206.0,1.0773724207495643,2427.0,1.7878290219741906
1829,2210.5134640522874,0.8013574823184149,2137.0,0.9550420856703334,2300.0,1.5443054347942593
1836,2146.133594771242,0.7874236934898909,2081.0,0.8685752704400694,2226.0,1.318728479388561
1840,2079.843202614379,0.7447001463951891,2026.0,0.8081869407846105,2143.0,1.1928189581949644
1867,1977.6845751633987,0.7370087030287727,1929.0,0.8399340359555123,2033.0,1.049283509734729
1879,1941.542026143791,0.7228574082566632,1896.0,0.8412726442650376,1994.0,1.0226500367457814
1882,1852.3837908496732,0.7147684964926516,1810.0,0.7952274431647719,1900.0,1.0320364080762814
1883,1829.5979738562091,0.7091934436168097,1789.0,0.7726277926610753,1875.0,1.0445013193413528
1884,1578.2530065359476,0.7055523214949259,1540.0,0.8439390324649191,1620.0,0.9791479574689941
1885,1520.9979738562092,0.6942392549911403,1484.0,0.8984765569590917,1561.0,0.9220590560391683
1887,1488.7723529411765,0.6869044005233828,1452.0,0.908012402384229,1528.0,0.890436450997281
1889,1250.8935947712419,0.6814076672482561,1216.0,0.8717458466453925,1289.0,0.965589229819095
1890,1081.922614379085,0.6786649071036066,1048.0,0.8869827514590717,1119.0,0.9644893693219024
1891,1007.2573202614379,0.6716187735234083,975.0,0.8345522689986994,1043.0,1.0683220834794307
1892,887.0229411764706,0.6567490533790306,857.0,0.919731844841949,920.0,1.0119550012523126
1893,799.2786928104575,0.6420013686330762,771.0,0.8688280369282885,830.0,0.8477382957239605
1894,654.4071241830065,0.6300855278570787,628.0,0.9191004596403244,683.0,0.8463465129964526
1895,626.9956862745098,0.6032432268863099,603.0,0.8122913488811085,653.0,0.822413185163006
1896,609.3146405228758,0.6005161679632861,585.0,0.8320149591820406,635.0,0.8438841884867426
1897,598.3053594771242,0.594002128425803,575.0,0.8376012520568857,624.0,0.8624070723811155
1898,577.8830065359477,0.5865223776419045,555.0,0.8513428977391145,603.0,0.8559584552924185
1899,554.3920915032679,0.5753767939322473,532.0,0.8973871861802998,579.0,0.9478264161997066
1900,507.54496732026143,0.566143516752527,486.0,0.9212121852861478,531.0,0.9417814243201921
1901,492.6637908496732,0.5386943759876371,473.0,0.9221308045974934,514.0,0.9352248627277108
1902,490.3062745098039,0.5367754358298948,471.0,0.9270616288117993,512.0,0.9708113466057507
1903,486.6328758169935,0.5336041990089542,467.0,0.9586888113376424,508.0,0.9651350941527517
1904,467.9196732026144,0.5283647749759477,449.0,0.9058442954702468,489.0,0.8987006029396148
1905,463.62692810457514,0.5214425926636003,445.0,0.920472054052539,484.0,0.9536060984684536
1906,456.6513071895425,0.517057372296515,438.0,0.8815043213774627,477.0,0.987715344265384
1907,451.46424836601307,0.5049066911009836,434.0,0.8435286942151777,471.0,0.8999796925788252
1908,443.6156862745098,0.4955573334423168,426.0,0.8309840953570046,463.0,0.8546514947213039
1909,437.122091503268,0.4886806874283897,420.0,0.823461509335729,456.0,0.8575960018892115
1910,429.0259477124183,0.47932064617627906,413.0,0.7631719068416187,447.0,0.8712524020782377
1911,426.5149019607843,0.47487021060239487,410.0,0.8184394101761743,445.0,0.9007098742082368
1913,424.6928758169935,0.4686940804850321,409.0,0.7798704664647395,443.0,0.934580201840755
1914,424.08849673202616,0.4666615321324194,408.0,0.7981043162625528,442.0,0.8743527491734266
1917,414.8706535947712,0.4608738956407083,399.0,0.7586258909829168,433.0,0.839672090392192
1918,407.38882352941175,0.45618430798804543,392.0,0.7511588956117097,425.0,0.7537017493757063
1919,403.4603267973856,0.44301265365593384,389.0,0.7150525278849869,420.0,0.7901569882843901
1920,401.89143790849675,0.44095728843404275,387.0,0.7336094132430673,418.0,0.7626012481061824
1921,397.30686274509804,0.4378710060967737,383.0,0.667769950970549,414.0,0.7851789812225857
1924,392.72359477124184,0.4345367538955106,379.0,0.6422005886248063,409.0,0.7386319106552232
1925,387.91490196078433,0.4204111679676539,374.0,0.640404032995008,404.0,0.8198088099896509
1926,387.3621568627451,0.4175668432627771,374.0,0.6223267586009592,403.0,0.8029785110936891
1927,385.50104575163397,0.4119929437823437,372.0,0.6328956296712621,401.0,0.8116503035998833
1928,384.93882352941176,0.4090640663961909,372.0,0.5902651593201468,400.0,0.8114949558919667
1929,382.8478431372549,0.4019586538745338,370.0,0.5793906690802904,398.0,0.7570210348149871
1930,378.7351633986928,0.39338914592977126,366.0,0.5758660415464483,394.0,0.7855832921391874
1931,375.35281045751634,0.38247271305387215,363.0,0.5637578764314282,390.0,0.6819973859284922
1932,362.80529411764707,0.3798867847503258,350.0,0.5437648227908657,377.0,0.6718894021319525
1933,350.4301307189543,0.3584646324356479,338.0,0.5075026186950725,364.0,0.6162196197318237
1935,343.40764705882356,0.34386525357823283,332.0,0.45543229241343547,357.0,0.5869702372808909
1936,336.9154248366013,0.3395017414278704,325.0,0.4525677273344825,350.0,0.5934105430655281
1937,326.94954248366014,0.33039172154193147,316.0,0.4469124513489716,340.0,0.5447220264632324
1938,314.2324183006536,0.32342672998423794,303.0,0.40854578117620105,327.0,0.5434320017329604
1939,307.10470588235296,0.31293920257755137,296.0,0.39009425766919237,319.0,0.5013986081427918
1940,291.448954248366,0.3067840786692298,281.0,0.38027931692586797,303.0,0.5148324678135711
1941,281.2204575163399,0.29397139200410843,271.0,0.3921867442301671,293.0,0.49577836932633407
1942,280.2283006535948,0.2842978150274533,270.0,0.3805891877246036,292.0,0.48430950579983534
1943,276.82712418300656,0.27960151390462396,267.0,0.3708427766796416,288.0,0.47054067570752517
1944,274.8333333333333,0.26863086891880117,265.0,0.3599440379134381,286.0,0.5132773115835481
1948,270.24418300653593,0.26235792221327137,261.0,0.3502307110778664,281.0,0.46240974488164277
1949,262.26941176470586,0.2535991252793548,253.0,0.32909560413201905,273.0,0.4115934092511533
1950,252.95352941176472,0.24015795287850833,244.0,0.29960830375032393,263.0,0.42229106597102706
1951,246.0572549019608,0.2290817655477547,237.0,0.2832521336524705,256.0,0.36408113012333576
1952,245.0118954248366,0.21765915950843975,237.0,0.2688145929331655,255.0,0.31989140461152077
1953,228.49555555555557,0.21283370266942847,220.0,0.2653130141464217,238.0,0.3084602615320654
1954,219.22071895424835,0.18819293251177505,212.0,0.2189650315526999,228.0,0.2891852118328418
1955,208.1321568627451,0.17712778196513218,201.0,0.20753519008822424,216.0,0.2888964758272185
1956,206.39444444444445,0.16989005280760705,200.0,0.2044398541578716,214.0,0.2711714559551749
1957,199.9578431372549,0.16705642645216498,193.0,0.20436261057259297,208.0,0.26891119239544964
1958,196.1107843137255,0.15905749856176118,190.0,0.1728431661229792,204.0,0.22349020468594022
1959,193.83588235294118,0.15654805490582982,188.0,0.18108762845869303,201.0,0.23000169289581088
1960,192.13816993464053,0.14817174046195078,186.0,0.17565319181080297,199.0,0.21277075916461938
1961,187.8621568627451,0.14479298465576365,182.0,0.1711860885389433,195.0,0.19827452615706812
1962,187.32503267973857,0.13859671652086858,182.0,0.1548116404295242,194.0,0.2208249298238816
1963,186.05843137254902,0.13493247531722993,180.0,0.17911496092808704,193.0,0.2175379189286603
1964,185.65967320261439,0.13091137229658964,180.0,0.16961706152462558,192.0,0.21190534594101926
1965,183.3907843137255,0.12731364471126483,178.0,0.15909132434814838,190.0,0.19974134651934133
1966,180.4645751633987,0.11307649130377066,175.0,0.15518156200407457,187.0,0.20533843354779802
1967,179.06738562091502,0.1073550937245987,174.0,0.13566416566952816,185.0,0.15233935996600798
1968,178.80843137254902,0.10376647686404152,174.0,0.12440823219769785,185.0,0.165130723416379
1969,175.54790849673202,0.09996901950092635,171.0,0.09860656244323338,181.0,0.10505597569824882
1970,173.039477124183,0.09317699025047274,169.0,0.09481534498406757,179.0,0.10752382436141596
1973,169.15875816993463,0.08030320654421523,165.0,0.08629544504560911,174.0,0.0890388407400415
1974,167.92,0.07655448709373229,164.0,0.07661416207839289,173.0,0.08423576766591807
1975,167.6716339869281,0.07288996243045413,164.0,0.07145257048444927,173.0,0.08000426438218124
1976,165.30209150326797,0.06701543560572729,162.0,0.062017683422924144,170.0,0.07067005286865313
1977,163.829477124183,0.05961519415892045,160.0,0.055437040902577964,168.0,0.055068498392999765
1978,162.5786928104575,0.05629596178858197,159.0,0.04895603857051368,167.0,0.053286333963071746
1980,162.21823529411765,0.051307101697983554,159.0,0.03331680454840558,166.0,0.03836285415070011
1981,150.980522875817,0.04750096350905535,148.0,0.029640006182173037,155.0,0.0332046006377225
1982,145.4248366013072,0.039505903478841024,143.0,0.023054799293221725,149.0,0.026327167244035596
1983,142.1375816993464,0.019048747181973285,141.0,0.007054208633172621,145.0,0.013867755091752821
1985,139.71379084967322,0.012641370103983286,139.0,0.002902048458436576,142.0,0.007235012286161172
1993,117.50647058823529,0.009579119785939354,117.0,0.0021772571745322915,119.0,0.004173326448151339
1996,96.33496732026144,0.006628596124339908,96.0,0.001226213854990841,98.0,0.0036251130121688754
2001,84.12241830065359,0.0032069548116505585,84.0,0.000358581472369251,85.0,0.0009255287324162305
